"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"39","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","178","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"40","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","178","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"41","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","181","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"42","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","181","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"43","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","190","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"44","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","190","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"45","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","194","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"46","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","194","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"47","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","215","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"48","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","215","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"49","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","221","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"50","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","221","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"51","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","229","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"52","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","229","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"53","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","230","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"54","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","230","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"55","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","246","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"56","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","246","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"57","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","256","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"58","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","256","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
